station_id,sensor_id,latitude,longitude,measurement_value,measurement_datetime_utc,measurement_datetime_tokyo,NO2_lag_1,NO2_target_T+1,past_temp_1,past_wind_1,past_wind_dir_1,past_humidity_1,past_pressure_1,future_temp_1,future_wind_1,future_wind_dir_1,future_humidity_1,future_pressure_1,NO2_lag_2,NO2_target_T+2,past_temp_2,past_wind_2,past_wind_dir_2,past_humidity_2,past_pressure_2,future_temp_2,future_wind_2,future_wind_dir_2,future_humidity_2,future_pressure_2,NO2_lag_3,NO2_target_T+3,past_temp_3,past_wind_3,past_wind_dir_3,past_humidity_3,past_pressure_3,future_temp_3,future_wind_3,future_wind_dir_3,future_humidity_3,future_pressure_3,NO2_lag_4,NO2_target_T+4,past_temp_4,past_wind_4,past_wind_dir_4,past_humidity_4,past_pressure_4,future_temp_4,future_wind_4,future_wind_dir_4,future_humidity_4,future_pressure_4
1214508,6518570,35.651389,139.593611,0.005,2024-08-18 17:00:00,2024-08-19 02:00:00,0.004,0.004,29.88,0.45,104,87,1010,28.57,1.96,352,88,1010,,0.006,29.59,2.23,191,87,1010,28.04,2.43,348,92,1010,,0.009,29.61,1.31,225,87,1010,28.05,2.88,350,94,1011,0.005,0.008,29.67,0.82,295,86,1010,28.2,2.99,353,94,1011
1214509,6587263,35.661111,139.616667,0.007,2024-08-18 17:00:00,2024-08-19 02:00:00,0.009,0.009,29.88,0.45,104,87,1010,28.57,1.96,352,88,1010,,0.014,29.59,2.23,191,87,1010,28.04,2.43,348,92,1010,,0.012,29.61,1.31,225,87,1010,28.05,2.88,350,94,1011,0.011,0.013,29.67,0.82,295,86,1010,28.2,2.99,353,94,1011
1214510,6516563,35.675,139.786111,0.019,2024-08-18 17:00:00,2024-08-19 02:00:00,0.016,0.017,29.93,5.14,170,86,1010,28.64,4.12,170,86,1010,,0.018,29.61,5.14,160,86,1010,28.23,2.57,190,89,1010,,0.014,29.65,5.14,180,86,1010,28.2,2.57,190,89,1011,0.013,0.013,29.74,4.12,180,86,1010,28.28,2.06,0,89,1011
1214511,6516111,35.652778,139.783333,0.025,2024-08-18 17:00:00,2024-08-19 02:00:00,0.018,0.021,29.83,5.14,170,86,1010,28.91,4.12,170,85,1010,,0.018,29.55,5.14,160,86,1010,28.55,2.57,190,87,1010,,0.013,29.79,5.14,180,86,1010,28.5,2.57,190,88,1011,0.018,0.013,29.92,4.12,180,85,1010,28.53,2.06,0,88,1011
1214514,6518645,35.700278,139.682778,0.005,2024-08-18 17:00:00,2024-08-19 02:00:00,0.006,0.003,29.93,5.14,170,86,1010,28.64,4.12,170,86,1010,,0.006,29.61,5.14,160,86,1010,28.23,2.57,190,89,1010,,0.006,29.65,5.14,180,86,1010,28.2,2.57,190,89,1011,0.007,0.006,29.74,4.12,180,86,1010,28.28,2.06,0,89,1011
1214515,6515352,35.716667,139.647222,0.003,2024-08-18 17:00:00,2024-08-19 02:00:00,0.005,0.004,29.78,1.34,143,83,1010,28.52,0.45,16,88,1010,,0.008,29.69,2.24,175,86,1010,28.16,0.89,44,91,1010,,0.009,29.72,1.34,123,88,1010,28.12,0.45,29,92,1011,,0.008,29.81,1.34,166,88,1010,28.22,0.45,22,92,1011
1214712,6587151,35.763889,139.738889,0.011,2024-08-18 17:00:00,2024-08-19 02:00:00,0.019,0.007,30.4,3.47,156,84,1010,28.67,0.45,16,87,1010,,0.007,29.93,0.45,320,85,1010,28.22,0.45,16,89,1010,,0.007,29.57,0.88,126,87,1010,28.41,0.45,83,89,1011,,0.009,29.95,0.45,95,90,1010,28.43,0.45,15,90,1011
1214720,6516136,35.669444,139.756389,0.023,2024-08-18 17:00:00,2024-08-19 02:00:00,0.023,0.021,29.93,5.14,170,86,1010,28.64,4.12,170,86,1010,,0.018,29.61,5.14,160,86,1010,28.23,2.57,190,89,1010,,0.01,29.65,5.14,180,86,1010,28.2,2.57,190,89,1011,0.018,0.011,29.74,4.12,180,86,1010,28.28,2.06,0,89,1011
1214721,6515676,35.672222,139.761111,0.021,2024-08-18 17:00:00,2024-08-19 02:00:00,0.023,0.019,29.93,5.14,170,86,1010,28.64,4.12,170,86,1010,,0.018,29.61,5.14,160,86,1010,28.23,2.57,190,89,1010,,0.011,29.65,5.14,180,86,1010,28.2,2.57,190,89,1011,0.017,0.012,29.74,4.12,180,86,1010,28.28,2.06,0,89,1011
1214722,6515455,35.688889,139.772222,0.019,2024-08-18 17:00:00,2024-08-19 02:00:00,0.021,0.018,29.93,5.14,170,86,1010,28.64,4.12,170,86,1010,,0.015,29.61,5.14,160,86,1010,28.23,2.57,190,89,1010,,0.01,29.65,5.14,180,86,1010,28.2,2.57,190,89,1011,0.014,0.012,29.74,4.12,180,86,1010,28.28,2.06,0,89,1011
1214767,6520102,35.725,139.797222,0.012,2024-08-18 17:00:00,2024-08-19 02:00:00,0.013,0.011,30.06,5.14,170,84,1010,28.79,4.12,170,85,1010,,0.008,29.71,5.14,160,85,1010,28.46,2.57,190,87,1010,,0.009,29.65,5.14,180,85,1010,28.6,2.57,190,87,1011,0.013,0.01,29.93,4.12,180,88,1010,28.51,2.06,0,88,1011
