station_id,sensor_id,latitude,longitude,NO2_t,measurement_datetime_utc,measurement_datetime_tokyo,NO2_lag_1,NO2_lag_2,NO2_lag_3,NO2_lag_4,past_temp_1,past_humidity_1,past_pressure_1,past_wind_1,past_wind_dir_1,past_temp_2,past_humidity_2,past_pressure_2,past_wind_2,past_wind_dir_2,past_temp_3,past_humidity_3,past_pressure_3,past_wind_3,past_wind_dir_3,past_temp_4,past_humidity_4,past_pressure_4,past_wind_4,past_wind_dir_4,future_temp_1,future_humidity_1,future_pressure_1,future_wind_1,future_wind_dir_1,future_temp_2,future_humidity_2,future_pressure_2,future_wind_2,future_wind_dir_2,future_temp_3,future_humidity_3,future_pressure_3,future_wind_3,future_wind_dir_3,future_temp_4,future_humidity_4,future_pressure_4,future_wind_4,future_wind_dir_4,geometry,NO2_T+1,NO2_T+2,NO2_T+3,NO2_T+4
1214508,6518570,35.651389,139.593611,0.012,2025-03-08 10:00:00,2025-03-08 19:00:00,0.014,0.013,0.013,0.012,2.35,88,1027,3.33,23,3.81,79,1026,2.06,300,5.13,64,1026,2.57,350,4.74,65,1026,1.54,160,1.64,88,1026,4.87,21,2.0,89,1026,5.49,2,2.32,90,1026,5.9,358,2.68,91,1026,5.93,354,POINT (372685.8558065663 3946194.35539137),0.011825885,0.01188528,0.011881714,0.011371603
1214509,6587263,35.661111,139.616667,0.016,2025-03-08 10:00:00,2025-03-08 19:00:00,0.02,0.02,0.017,0.018,2.35,88,1027,3.33,23,3.81,79,1026,2.06,300,5.13,64,1026,2.57,350,4.74,65,1026,1.54,160,1.92,89,1026,4.87,21,2.23,90,1026,5.49,2,2.49,91,1026,5.9,358,2.8,91,1026,5.93,354,POINT (374788.3248014685 3947243.0836213864),0.013888098,0.01378191,0.013429246,0.012760486
1214510,6516563,35.675,139.786111,0.017,2025-03-08 10:00:00,2025-03-08 19:00:00,0.023,0.016,0.022,0.033,3.29,83,1027,4.12,30,4.38,76,1026,3.6,20,5.57,62,1026,5.66,40,5.35,62,1026,3.6,10,2.72,88,1026,5.76,19,2.94,90,1026,6.42,9,3.09,91,1026,7.01,359,3.22,92,1025,7.12,353,POINT (390145.28818008344 3948580.9003412896),0.013450447,0.013101101,0.012586284,0.012139176
1214511,6516111,35.652778,139.783333,0.009,2025-03-08 10:00:00,2025-03-08 19:00:00,0.008,0.008,0.012,0.014,3.81,83,1026,4.12,30,4.92,75,1026,3.6,20,5.84,65,1026,5.66,40,5.72,63,1026,3.6,10,2.58,88,1026,5.76,19,2.83,90,1026,6.42,9,3.01,91,1026,7.01,359,3.17,92,1025,7.12,353,POINT (389863.3521346508 3946119.224778868),0.013129916,0.012965797,0.012505767,0.011653734
1214514,6518645,35.700278,139.682778,0.012,2025-03-08 10:00:00,2025-03-08 19:00:00,0.013,0.013,0.012,0.015,3.29,83,1027,4.12,30,4.38,76,1026,3.6,20,5.57,62,1026,5.66,40,5.35,62,1026,3.6,10,2.14,88,1026,5.11,22,2.42,89,1026,5.7,5,2.64,90,1026,6.14,359,2.91,91,1026,6.23,354,POINT (380830.94166027603 3951505.179706502),0.013473513,0.013353062,0.012886628,0.01202416
1214515,6515352,35.716667,139.647222,0.009,2025-03-08 10:00:00,2025-03-08 19:00:00,0.009,0.011,0.01,0.01,3.09,80,1027,0.45,44,4.23,74,1026,2.06,300,5.48,59,1026,3.6,30,5.2,61,1026,1.54,160,1.94,86,1027,4.76,25,2.24,88,1027,5.27,6,2.49,89,1027,5.67,360,2.79,90,1026,5.75,356,POINT (377639.05659125035 3953366.78160459),0.011868108,0.011907338,0.011721818,0.011185327
1214712,6587151,35.763889,139.738889,0.011,2025-03-08 10:00:00,2025-03-08 19:00:00,0.017,0.013,0.011,0.012,3.18,82,1027,0.45,44,4.55,73,1027,0.45,85,5.6,57,1026,0.45,79,5.62,63,1026,0.45,76,2.18,88,1027,4.82,27,2.48,89,1027,5.26,11,2.7,90,1027,5.55,1,2.93,91,1026,5.73,356,POINT (385998.2809993178 3958494.135337467),0.016613193,0.015186196,0.014913034,0.013727192
1214720,6516136,35.669444,139.756389,0.011,2025-03-08 10:00:00,2025-03-08 19:00:00,0.011,0.014,0.016,0.017,3.29,83,1027,4.12,30,4.38,76,1026,3.6,20,5.57,62,1026,5.66,40,5.35,62,1026,3.6,10,2.38,88,1026,5.76,19,2.67,90,1026,6.42,9,2.89,91,1026,7.01,359,3.09,92,1025,7.12,353,POINT (387447.56609862024 3947998.293254223),0.012935447,0.01275515,0.01224292,0.011496894
1214721,6515676,35.672222,139.761111,0.012,2025-03-08 10:00:00,2025-03-08 19:00:00,0.012,0.015,0.015,0.017,3.29,83,1027,4.12,30,4.38,76,1026,3.6,20,5.57,62,1026,5.66,40,5.35,62,1026,3.6,10,2.38,88,1026,5.76,19,2.67,90,1026,6.42,9,2.89,91,1026,7.01,359,3.09,92,1025,7.12,353,POINT (387878.835770924 3948301.0206632474),0.012999563,0.012811696,0.012309242,0.011577123
1214722,6515455,35.688889,139.772222,0.01,2025-03-08 10:00:00,2025-03-08 19:00:00,0.008,0.01,0.012,0.014,3.29,83,1027,4.12,30,4.38,76,1026,3.6,20,5.57,62,1026,5.66,40,5.35,62,1026,3.6,10,2.38,88,1026,5.49,21,2.64,90,1026,6.11,10,2.84,91,1026,6.6,359,3.02,92,1025,6.74,353,POINT (388907.5557523116 3950137.047901237),0.013262755,0.013100588,0.012672283,0.01178937
