station_id,sensor_id,latitude,longitude,measurement_value,measurement_datetime_utc,measurement_datetime_tokyo,NO2_lag_1,past_temp_1,past_wind_1,past_wind_dir_1,past_humidity_1,past_pressure_1,future_temp_1,future_wind_1,future_wind_dir_1,future_humidity_1,future_pressure_1,NO2_lag_2,past_temp_2,past_wind_2,past_wind_dir_2,past_humidity_2,past_pressure_2,future_temp_2,future_wind_2,future_wind_dir_2,future_humidity_2,future_pressure_2,NO2_lag_3,past_temp_3,past_wind_3,past_wind_dir_3,past_humidity_3,past_pressure_3,future_temp_3,future_wind_3,future_wind_dir_3,future_humidity_3,future_pressure_3,NO2_lag_4,past_temp_4,past_wind_4,past_wind_dir_4,past_humidity_4,past_pressure_4,future_temp_4,future_wind_4,future_wind_dir_4,future_humidity_4,future_pressure_4
1214508,6518570,35.651389,139.593611,0.009,2024-09-17 20:00:00,2024-09-18 05:00:00,0.012,28.28,2.62,249,82,1013,27.88,1.31,276,85,1014,0.013,28.45,2.13,260,82,1013,28.76,1.26,313,83,1014,0.01,28.25,2.03,251,83,1013,30.27,0.77,332,76,1014,0.011,28.07,1.8,251,83,1013,31.39,1.03,0,70,1014
1214509,6587263,35.661111,139.616667,0.01,2024-09-17 20:00:00,2024-09-18 05:00:00,0.012,28.28,2.62,249,82,1013,27.88,1.31,276,85,1014,0.013,28.45,2.13,260,82,1013,28.76,1.26,313,83,1014,0.013,28.25,2.03,251,83,1013,30.27,0.77,332,76,1014,0.01,28.07,1.8,251,83,1013,31.39,1.03,0,70,1014
1214510,6516563,35.675,139.786111,0.015,2024-09-17 20:00:00,2024-09-18 05:00:00,0.011,28.62,4.12,240,81,1013,28.12,4.12,230,84,1013,0.013,28.65,4.63,210,80,1013,29.12,3.09,240,81,1014,0.015,28.45,4.12,230,82,1013,30.5,3.09,270,76,1014,0.015,28.24,4.63,230,81,1013,31.25,4.12,170,71,1014
1214511,6516111,35.652778,139.783333,0.015,2024-09-17 20:00:00,2024-09-18 05:00:00,0.011,28.84,4.12,240,80,1013,28.47,4.12,230,83,1013,0.016,28.88,4.63,210,79,1013,29.24,3.09,240,81,1014,0.016,28.72,4.12,230,81,1013,30.52,3.09,270,76,1014,0.012,28.55,4.63,230,80,1013,31.23,4.12,170,70,1014
1214514,6518645,35.700278,139.682778,0.007,2024-09-17 20:00:00,2024-09-18 05:00:00,0.007,28.62,4.12,240,81,1013,28.12,4.12,230,84,1013,0.007,28.65,4.63,210,80,1013,29.12,3.09,240,81,1014,0.006,28.45,4.12,230,82,1013,30.5,3.09,270,76,1014,0.008,28.24,4.63,230,81,1013,31.25,4.12,170,71,1014
1214515,6515352,35.716667,139.647222,0.01,2024-09-17 20:00:00,2024-09-18 05:00:00,,28.61,1.34,313,82,1013,28.13,0.45,297,86,1013,0.008,28.61,0.89,293,82,1013,29.18,0.45,331,82,1014,0.008,28.36,0.89,332,83,1013,30.82,0.45,229,77,1014,0.008,28.29,0.89,269,85,1013,31.66,3.09,150,73,1014
1214712,6587151,35.763889,139.738889,0.014,2024-09-17 20:00:00,2024-09-18 05:00:00,,28.94,1.81,255,84,1013,28.28,1.52,322,82,1013,0.011,28.95,0.45,224,81,1013,29.45,0.45,291,82,1014,0.013,28.67,0.45,28,80,1012,30.76,0.45,229,77,1014,0.012,28.41,1.74,307,80,1013,31.5,1.49,354,74,1014
1214720,6516136,35.669444,139.756389,,2024-09-17 20:00:00,2024-09-18 05:00:00,,28.62,4.12,240,81,1013,28.12,4.12,230,84,1013,,28.65,4.63,210,80,1013,29.12,3.09,240,81,1014,,28.45,4.12,230,82,1013,30.5,3.09,270,76,1014,,28.24,4.63,230,81,1013,31.25,4.12,170,71,1014
1214721,6515676,35.672222,139.761111,,2024-09-17 20:00:00,2024-09-18 05:00:00,,28.62,4.12,240,81,1013,28.12,4.12,230,84,1013,,28.65,4.63,210,80,1013,29.12,3.09,240,81,1014,,28.45,4.12,230,82,1013,30.5,3.09,270,76,1014,,28.24,4.63,230,81,1013,31.25,4.12,170,71,1014
1214722,6515455,35.688889,139.772222,,2024-09-17 20:00:00,2024-09-18 05:00:00,,28.62,4.12,240,81,1013,28.12,4.12,230,84,1013,,28.65,4.63,210,80,1013,29.12,3.09,240,81,1014,,28.45,4.12,230,82,1013,30.5,3.09,270,76,1014,,28.24,4.63,230,81,1013,31.25,4.12,170,71,1014
1214767,6520102,35.725,139.797222,0.017,2024-09-17 20:00:00,2024-09-18 05:00:00,0.01,29.13,4.12,240,83,1013,28.67,4.12,230,79,1013,0.011,29.18,4.63,210,78,1013,29.63,3.09,240,79,1014,0.013,28.93,4.12,230,77,1013,30.58,3.09,270,74,1014,0.013,28.75,4.63,230,77,1013,31.26,4.12,170,69,1014
1214831,6519787,35.613889,139.744444,0.015,2024-09-17 20:00:00,2024-09-18 05:00:00,0.012,28.84,4.12,240,80,1013,28.47,4.12,230,83,1013,0.012,28.88,4.63,210,79,1013,29.24,3.09,240,81,1014,0.013,28.72,4.12,230,81,1013,30.52,3.09,270,76,1014,0.015,28.55,4.63,230,80,1013,31.23,4.12,170,70,1014
1214832,6519019,35.616667,139.722222,0.011,2024-09-17 20:00:00,2024-09-18 05:00:00,0.008,28.84,4.12,240,80,1013,28.47,4.12,230,83,1013,0.013,28.88,4.63,210,79,1013,29.24,3.09,240,81,1014,0.013,28.72,4.12,230,81,1013,30.52,3.09,270,76,1014,0.009,28.55,4.63,230,80,1013,31.23,4.12,170,70,1014
1214833,6518521,35.608333,139.725,0.006,2024-09-17 20:00:00,2024-09-18 05:00:00,0.006,28.84,4.12,240,80,1013,28.47,4.12,230,83,1013,0.008,28.88,4.63,210,79,1013,29.24,3.09,240,81,1014,0.008,28.72,4.12,230,81,1013,30.52,3.09,270,76,1014,0.007,28.55,4.63,230,80,1013,31.23,4.12,170,70,1014
1214884,6517597,35.716667,139.816667,0.015,2024-09-17 20:00:00,2024-09-18 05:00:00,0.01,29.13,4.12,240,83,1013,28.67,4.12,230,79,1013,0.01,29.18,4.63,210,78,1013,29.63,3.09,240,79,1014,0.01,28.93,4.12,230,77,1013,30.58,3.09,270,74,1014,0.013,28.75,4.63,230,77,1013,31.26,4.12,170,69,1014
1214929,6587241,35.591667,139.713889,0.034,2024-09-17 20:00:00,2024-09-18 05:00:00,0.018,28.84,4.12,240,80,1013,28.47,4.12,230,83,1013,0.024,28.88,4.63,210,79,1013,29.24,3.09,240,81,1014,0.021,28.72,4.12,230,81,1013,30.52,3.09,270,76,1014,0.028,28.55,4.63,230,80,1013,31.23,4.12,170,70,1014
1214930,6519173,35.573056,139.686389,0.011,2024-09-17 20:00:00,2024-09-18 05:00:00,0.007,28.84,4.12,240,80,1013,28.47,4.12,230,83,1013,0.01,28.88,4.63,210,79,1013,29.24,3.09,240,81,1014,0.009,28.72,4.12,230,81,1013,30.52,3.09,270,76,1014,0.009,28.55,4.63,230,80,1013,31.23,4.12,170,70,1014
